Date,BTC,LastWeek,NextDay,NextThreeDays,NextWeek
23/12/2021,-11437.32828,0.020205126,1,-1,-1
22/12/2021,-5435.442854,0.000815814,1,-1,-1
21/12/2021,-3392.500053,0.005741888,-1,1,-1
20/12/2021,-511.3935108,-0.000651829,1,1,1
18/12/2021,19705.55395,-0.064023556,-1,1,1
17/12/2021,18666.66632,0.008935046,1,1,1
16/12/2021,-692.3661553,0.025688002,-1,1,1
15/12/2021,-770.8133885,-0.077065235,-1,-1,1
14/12/2021,-3092.093703,-0.078157766,1,-1,1
13/12/2021,-1850.587525,-0.009574218,-1,1,1
12/12/2021,-1376.634023,-0.000128418,-1,1,-1
11/12/2021,-1419.292761,-0.039783953,1,-1,-1
10/12/2021,-2915.053086,-0.110565652,1,-1,-1
09/12/2021,28592.79756,-0.105758684,-1,1,1
08/12/2021,17645.79306,-0.114096834,-1,1,1
07/12/2021,-6954.472435,-0.11266999,-1,-1,-1
06/12/2021,21422.56682,-0.145964711,1,-1,-1
05/12/2021,-7610.881585,-0.140575909,1,-1,-1
04/12/2021,-10161.68659,-0.022198856,1,1,-1
03/12/2021,-3267.498617,0.0542853,-1,1,-1
02/12/2021,20370.8193,-0.000783096,-1,-1,-1
01/12/2021,16367.21773,0.012881921,-1,-1,-1
30/11/2021,-3073.950764,0.004125343,1,-1,-1
29/11/2021,-3114.297109,0.017039973,-1,-1,-1
28/11/2021,-1093.531418,-0.066667234,1,-1,-1
27/11/2021,-846.7124536,-0.102641835,1,-1,-1
26/11/2021,-3345.565794,-0.014537243,1,1,-1
22/11/2021,2500,-0.075952741,1,-1,1
21/11/2021,3300,-0.088130793,-1,-1,1
20/11/2021,3595.517416,-0.098495359,-1,-1,-1
19/11/2021,4272.2781,-0.112441724,1,-1,-1
18/11/2021,2688.955272,-0.070545835,1,1,-1
17/11/2021,1300,-0.074374448,-1,1,-1
29/10/2021,10000,-0.001155483,-1,-1,-1
25/10/2021,5000,-0.017657769,-1,1,1
